,bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,av.eco,over
83,A Mishra,7.0,7.142857142857143,7.0,6.833333333333333,8.106382978723405,6.370967741935484,9.0,7.609756097560975,7.608695652173913,8.846153846153847,7.551814679273809,442
84,Z Khan,8.785714285714286,6.857142857142857,7.918367346938775,7.88135593220339,7.8,7.833333333333333,6.782608695652174,6.36,7.5777777777777775,7.878048780487805,7.567434900925039,371
85,DP Nannes,,7.68,6.714285714285714,7.75,,8.25,,,,,7.598571428571429,109
86,A Singh,,5.555555555555555,,7.655172413793103,9.606060606060606,,,,,,7.605596191803087,80
87,Parvez Rasool,,,,,,5.8,9.222222222222221,6.2,9.285714285714286,,7.6269841269841265,33
88,Ankit Soni,,,,,,,,,,7.631578947368421,7.631578947368421,19
89,RA Jadeja,7.0,6.5,,7.309523809523809,7.942857142857143,7.409090909090909,8.10909090909091,7.767441860465116,7.804878048780488,9.263157894736842,7.678448952727247,325
90,WD Parnell,,,,7.4,6.333333333333333,9.4,7.580645161290323,,,,7.678494623655914,97
91,S Randiv,,,,7.689655172413793,,,,,,,7.689655172413793,29
92,AR Patel,,,,,,,6.424242424242424,8.48936170212766,8.229166666666666,7.625,7.691942698259187,209
93,BA Bhatt,,,,8.321428571428571,8.411764705882353,6.4,,,,,7.711064425770307,50
94,B Lee,7.375,5.65,10.266666666666667,7.586956521739131,7.973684210526316,7.416666666666667,,,,,7.711495677599796,147
95,DJ Muthuswami,,,,,,,,7.714285714285714,,,7.714285714285714,14
96,Shoaib Akhtar,7.714285714285714,,,,,,,,,,7.714285714285714,7
97,SK Trivedi,8.479166666666666,7.6,7.388888888888889,8.527777777777779,7.4423076923076925,7.083333333333333,,,,,7.75357905982906,252
98,KMDN Kulasekara,,,,8.666666666666666,6.857142857142857,,,,,,7.761904761904761,17
99,R Bhatia,8.409090909090908,6.954545454545454,8.5,6.65625,7.407407407407407,7.590909090909091,7.552631578947368,9.4,7.323529411764706,7.857142857142857,7.7651506709807805,274
100,KP Pietersen,,6.769230769230769,7.7,,8.833333333333334,,,,,,7.767521367521368,29
101,GB Hogg,,,,,7.277777777777778,7.75,,7.0476190476190474,9.0,,7.7688492063492065,77
102,PP Chawla,8.425531914893616,7.088888888888889,7.571428571428571,8.095238095238095,7.456140350877193,7.338983050847458,7.6,7.857142857142857,7.378378378378378,8.95,7.776173210769505,431
103,CH Morris,,,,,,8.2,,8.0,7.2727272727272725,7.774193548387097,7.811730205278592,167
104,M Morkel,,5.714285714285714,9.428571428571429,7.813953488372093,7.396825396825397,8.525,7.833333333333333,7.571428571428571,8.305555555555555,,7.823619186046511,272
105,VS Malik,,8.333333333333334,8.25,7.0,,5.9,9.666666666666666,,,,7.83,35
106,CRD Fernando,8.2,,7.473684210526316,,,,,,,,7.836842105263157,39
107,TM Dilshan,3.0,6.1875,7.777777777777778,9.0,11.142857142857142,10.0,,,,,7.8513558201058204,46
108,KP Appanna,,7.583333333333333,7.285714285714286,,8.764705882352942,,,,,,7.877917833800187,36
109,DP Vijaykumar,7.884615384615385,,,,,,,,,,7.884615384615385,26
110,Bipul Sharma,,,9.4,6.666666666666667,10.25,5.25,,7.142857142857143,8.785714285714286,7.705882352941177,7.885874349739895,72
111,WPUJC Vaas,8.11111111111111,8.875,6.681818181818182,,,,,,,,7.889309764309765,48
112,Harmeet Singh,,8.608695652173912,7.375,7.571428571428571,8.521739130434783,7.416666666666667,,,,,7.898706004140786,89
113,Shahid Afridi,7.9,,,,,,,,,,7.9,30
114,Iqbal Abdulla,7.333333333333333,,6.888888888888889,6.26,6.681818181818182,7.473684210526316,9.0,7.894736842105263,8.64,11.0,7.9080512729635535,154
115,S Badree,,,,,,8.75,7.357142857142857,,,7.64,7.915714285714286,43
116,R Sharma,,,8.095238095238095,5.56,8.243243243243244,6.878048780487805,10.833333333333334,,,,7.921972690460495,155
117,SK Raina,7.5,6.035714285714286,6.961538461538462,7.464285714285714,7.571428571428571,11.5,7.5,7.833333333333333,8.4,8.5,7.926630036630037,154
118,BCJ Cutting,,,,,,,7.75,,6.666666666666667,9.461538461538462,7.95940170940171,29
119,P Kumar,8.355555555555556,8.02,8.71111111111111,7.673913043478261,7.063492063492063,6.912280701754386,6.75,9.38888888888889,7.69811320754717,9.058823529411764,7.963217810123919,424
120,Sandeep Sharma,,,,,,8.125,8.731707317073171,7.18,7.48,8.375,7.978341463414634,205
121,B Akhil,7.666666666666667,7.2727272727272725,6.0,11.0,,,,,,,7.984848484848484,32
122,M Kartik,8.8,6.088235294117647,6.6923076923076925,8.095238095238095,7.416666666666667,7.435897435897436,11.375,,,,7.986192169175363,192
123,AC Thomas,,,,7.6923076923076925,8.285714285714286,,,,,,7.989010989010989,53
124,D du Preez,,8.0,,,,,,,,,8.0,7
125,C de Grandhomme,,,,,,,,,,8.0,8.0,17
126,SA Yadav,,,,,,,8.0,,,,8.0,1
127,S Dhawan,,,,6.0,10.0,,,,,,8.0,8
128,RS Gavaskar,,,8.0,,,,,,,,8.0,1
129,DAJ Bracewell,,,,,8.0,,,,,,8.0,4
130,SM Boland,,,,,,,,,8.0,,8.0,7
131,ST Jayasuriya,7.761904761904762,8.68421052631579,7.555555555555555,,,,,,,,8.000556947925368,49
132,MM Patel,7.6909090909090905,7.0,9.076923076923077,6.8545454545454545,7.957446808510638,9.2,,,,8.285714285714286,8.009362673800362,227
133,SR Watson,7.181818181818182,,8.409090909090908,6.888888888888889,6.875,7.595238095238095,8.047619047619047,9.413793103448276,8.596491228070175,9.11111111111111,8.013227840587186,313
134,LR Shukla,9.692307692307692,7.285714285714286,9.0,,6.0,7.333333333333333,8.8,,,,8.018559218559218,54
135,KV Sharma,,,,,,6.714285714285714,7.705882352941177,8.45,10.235294117647058,7.0,8.02109243697479,174
136,Shakib Al Hasan,,,,6.555555555555555,6.766666666666667,,6.78,8.785714285714286,7.967741935483871,11.333333333333334,8.031501962792285,155
137,YK Pathan,8.03448275862069,7.085714285714285,7.470588235294118,6.256410256410256,8.363636363636363,7.4,10.0,10.0,5.5,10.25,8.03608318996757,190
138,Yuvraj Singh,9.444444444444445,7.1,6.739130434782608,6.655172413793103,,6.909090909090909,8.304347826086957,8.333333333333334,7.428571428571429,11.5,8.046010087789199,144
139,PP Ojha,8.08108108108108,6.648148148148148,7.440677966101695,7.594594594594595,7.4,7.377358490566038,8.369565217391305,11.5,,,8.051428187235357,318
140,MM Sharma,,,,,,6.411764705882353,8.462962962962964,8.456140350877194,8.2,8.76595744680851,8.059365093306203,259
141,A Nehra,7.933333333333334,6.9411764705882355,7.285714285714286,,8.5625,8.86111111111111,9.533333333333333,7.306451612903226,7.407407407407407,9.0,8.092336394932325,320
142,JH Kallis,9.2,7.869565217391305,8.491228070175438,7.083333333333333,7.592592592592593,7.679245283018868,8.772727272727273,,,,8.098384538462687,291
143,BW Hilfenhaus,,,,,7.117647058823529,,9.107142857142858,,,,8.112394957983193,62
144,KK Cooper,,,,,7.791666666666667,8.444444444444445,8.11111111111111,,,,8.11574074074074,96
145,PV Tambe,,,,,,8.272727272727273,7.448979591836735,7.852941176470588,8.9375,,8.128037010258648,110
